Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005516~calmodulin binding	3	6.382978723404255	0.0383222622664053	AKAP12, CNN1, MYH11	44	208	28924	9.481206293706293	0.9932735797026461	0.3065780981312424	0.28741696699803976
REACTOME_PATHWAY	R-MMU-2022923~Dermatan sulfate biosynthesis	2	4.25531914893617	0.03960501750302037	VCAN, BGN	35	11	9277	48.19220779220779	0.9999152045147619	0.2796354266122347	0.2520319295646751
GOTERM_CC_DIRECT	GO:0030027~lamellipodium	3	6.382978723404255	0.04089080075110019	ACTA2, APBB1IP, PTPRZ1	47	207	29722	9.164970706136293	0.9952234840173367	0.23791011346094654	0.2100300220397419
REACTOME_PATHWAY	R-MMU-75892~Platelet Adhesion to exposed collagen	2	4.25531914893617	0.04312902240333435	COL1A1, COL1A2	35	12	9277	44.17619047619047	0.999963860285541	0.2871160634279115	0.2587741344200061
REACTOME_PATHWAY	R-MMU-430116~GP1b-IX-V activation signalling	2	4.25531914893617	0.04312902240333435	COL1A1, COL1A2	35	12	9277	44.17619047619047	0.999963860285541	0.2871160634279115	0.2587741344200061
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	3	6.382978723404255	0.04454169753211946	VCAM1, CAV1, ADM	47	217	29712	8.739680360819687	0.9999999999927688	0.7420384315816297	0.7314756069327809
KEGG_PATHWAY	mmu05146:Amoebiasis	3	6.382978723404255	0.04475473166569457	COL1A1, COL3A1, COL1A2	31	108	9565	8.57078853046595	0.9594451629558901	0.2848028378726018	0.2563225540853416
GOTERM_CC_DIRECT	GO:0016514~SWI/SNF complex	2	4.25531914893617	0.04542486433193445	ACTA2, BCL11B	47	30	29722	42.15886524822695	0.9973956755508281	0.25279924497772216	0.2231743334568953
GOTERM_BP_DIRECT	GO:0034113~heterotypic cell-cell adhesion	2	4.25531914893617	0.045439818870130586	VCAM1, THY1	47	30	29712	42.144680851063825	0.9999999999957414	0.7420384315816297	0.7314756069327809
GOTERM_BP_DIRECT	GO:0031641~regulation of myelination	2	4.25531914893617	0.045439818870130586	PTPRZ1, PTN	47	30	29712	42.144680851063825	0.9999999999957414	0.7420384315816297	0.7314756069327809
REACTOME_PATHWAY	R-MMU-4420097~VEGFA-VEGFR2 Pathway	3	6.382978723404255	0.047986780957221205	ACTA2, CAV1, TRIB3	35	96	9277	8.283035714285715	0.9999889038818522	0.3105811100842372	0.2799228889171237
GOTERM_BP_DIRECT	GO:0031032~actomyosin structure organization	2	4.25531914893617	0.04839625590584158	CNN1, MYH11	47	32	29712	39.51063829787234	0.9999999999992573	0.7420384315816297	0.7314756069327809
GOTERM_CC_DIRECT	GO:0005911~cell-cell junction	3	6.382978723404255	0.04978098308079648	FLRT2, SH3KBP1, NCAM1	47	231	29722	8.212765957446807	0.9985497733648512	0.26336646882698656	0.23250321076132405
GOTERM_BP_DIRECT	GO:0035987~endodermal cell differentiation	2	4.25531914893617	0.04987111345690221	COL12A1, COL8A1	47	33	29712	38.313346228239844	0.9999999999996898	0.7420384315816297	0.7314756069327809
REACTOME_PATHWAY	R-MMU-2024101~CS/DS degradation	2	4.25531914893617	0.050139420245921884	VCAN, BGN	35	14	9277	37.86530612244898	0.9999934372096564	0.3157428356026973	0.2845750878822593
GOTERM_BP_DIRECT	GO:0001935~endothelial cell proliferation	2	4.25531914893617	0.05134373479969049	CAV1, COL8A1	47	34	29712	37.18648310387985	0.9999999999998704	0.7420384315816297	0.7314756069327809
GOTERM_CC_DIRECT	GO:0005834~heterotrimeric G-protein complex	2	4.25531914893617	0.052796808120785466	GNGT2, GNG11	47	35	29722	36.136170212765954	0.9990345638277794	0.26336646882698656	0.23250321076132405
GOTERM_BP_DIRECT	GO:1904706~negative regulation of vascular associated smooth muscle cell proliferation	2	4.25531914893617	0.05281412324424411	CNN1, CAV1	47	35	29712	36.12401215805471	0.9999999999999459	0.7420384315816297	0.7314756069327809
GOTERM_BP_DIRECT	GO:0001937~negative regulation of endothelial cell proliferation	2	4.25531914893617	0.05281412324424411	SPARC, CAV1	47	35	29712	36.12401215805471	0.9999999999999459	0.7420384315816297	0.7314756069327809
GOTERM_BP_DIRECT	GO:0048714~positive regulation of oligodendrocyte differentiation	2	4.25531914893617	0.05281412324424411	PTPRZ1, PTN	47	35	29712	36.12401215805471	0.9999999999999459	0.7420384315816297	0.7314756069327809
KEGG_PATHWAY	mmu04670:Leukocyte transendothelial migration	3	6.382978723404255	0.053248636904474234	VCAM1, THY1, MYL9	31	119	9565	7.7785307671455675	0.978297201653411	0.310617048609433	0.2795553437484897
REACTOME_PATHWAY	R-MMU-1280218~Adaptive Immune System	7	14.893617021276595	0.05332719632891561	COL1A1, COL3A1, VCAM1, COL1A2, SH3KBP1, TRIB3, KIF21B	35	753	9277	2.464010624169987	0.9999969913132601	0.3269799143325615	0.29470292708084944
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	4	8.51063829787234	0.053496313980481644	VCAM1, CD248, NCAM1, THY1	47	551	29722	4.590802023400394	0.9991216742227382	0.26336646882698656	0.23250321076132405
GOTERM_MF_DIRECT	GO:0030246~carbohydrate binding	3	6.382978723404255	0.05405303258732842	VCAN, CD248, PTN	44	252	28924	7.825757575757574	0.9991853913375791	0.40698753948106103	0.38155081826349474
REACTOME_PATHWAY	R-MMU-194138~Signaling by VEGF	3	6.382978723404255	0.05535634863677548	ACTA2, CAV1, TRIB3	35	104	9277	7.645879120879121	0.9999981711488538	0.33071869826586375	0.29807264650571413
GOTERM_BP_DIRECT	GO:0043113~receptor clustering	2	4.25531914893617	0.05867341417023918	PTN, THY1	47	39	29712	32.4189852700491	0.9999999999999983	0.804255091796937	0.7928066207393294
GOTERM_BP_DIRECT	GO:0060325~face morphogenesis	2	4.25531914893617	0.06304459867195403	COL1A1, CRISPLD2	47	42	29712	30.103343465045594	0.9999999999999999	0.8435967727056706	0.8315882777205365
REACTOME_PATHWAY	R-MMU-8964315~G beta:gamma signalling through BTK	2	4.25531914893617	0.06401097702134163	GNGT2, GNG11	35	18	9277	29.45079365079365	0.9999997838201198	0.3513482431393882	0.31666579853764604
REACTOME_PATHWAY	R-MMU-2243919~Crosslinking of collagen fibrils	2	4.25531914893617	0.06401097702134163	COL1A1, COL1A2	35	18	9277	29.45079365079365	0.9999997838201198	0.3513482431393882	0.31666579853764604
GOTERM_BP_DIRECT	GO:0030335~positive regulation of cell migration	3	6.382978723404255	0.06473817961805624	COL1A1, PTPRZ1, CAV1	47	268	29712	7.076532232454746	1.0	0.8456168204255533	0.833579570312734
REACTOME_PATHWAY	R-MMU-8957275~Post-translational protein phosphorylation	3	6.382978723404255	0.0660933225286726	VCAN, TIMP1, FBN1	35	115	9277	6.914534161490684	0.9999998710541089	0.3513482431393882	0.31666579853764604
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell population proliferation	4	8.51063829787234	0.06620487562050595	ACTA2, ADM, TIMP1, PTN	47	602	29712	4.200466530006361	1.0	0.8456168204255533	0.833579570312734
REACTOME_PATHWAY	R-MMU-392851~Prostacyclin signalling through prostacyclin receptor	2	4.25531914893617	0.06744802495190409	GNGT2, GNG11	35	19	9277	27.900751879699246	0.9999999079239411	0.3513482431393882	0.31666579853764604
REACTOME_PATHWAY	R-MMU-201556~Signaling by ALK	2	4.25531914893617	0.06744802495190409	PTPRZ1, PTN	35	19	9277	27.900751879699246	0.9999999079239411	0.3513482431393882	0.31666579853764604
KEGG_PATHWAY	mmu04371:Apelin signaling pathway	3	6.382978723404255	0.07001366206124844	ACTA2, GNGT2, GNG11	31	139	9565	6.6593177071246235	0.9937861638310146	0.3769966418682609	0.33929697768143474
GOTERM_CC_DIRECT	GO:0045211~postsynaptic membrane	3	6.382978723404255	0.07069360841698624	FLRT2, PTPRZ1, NCAM1	47	282	29722	6.727478497057492	0.999915987812827	0.3351400695323792	0.2958658426340535
REACTOME_PATHWAY	R-MMU-8964616~G beta:gamma signalling through CDC42	2	4.25531914893617	0.07087282157747317	GNGT2, GNG11	35	20	9277	26.505714285714284	0.9999999607862784	0.3513482431393882	0.31666579853764604
REACTOME_PATHWAY	R-MMU-418217~G beta:gamma signalling through PLC beta	2	4.25531914893617	0.07087282157747317	GNGT2, GNG11	35	20	9277	26.505714285714284	0.9999999607862784	0.3513482431393882	0.31666579853764604
REACTOME_PATHWAY	R-MMU-2022870~Chondroitin sulfate biosynthesis	2	4.25531914893617	0.07087282157747317	VCAN, BGN	35	20	9277	26.505714285714284	0.9999999607862784	0.3513482431393882	0.31666579853764604
GOTERM_BP_DIRECT	GO:0001525~angiogenesis	3	6.382978723404255	0.07335901502654828	CAV1, COL8A1, THY1	47	288	29712	6.585106382978723	1.0	0.9161725876648918	0.9031309849935055
REACTOME_PATHWAY	R-MMU-500657~Presynaptic function of Kainate receptors	2	4.25531914893617	0.07428540924757544	GNGT2, GNG11	35	21	9277	25.243537414965985	0.9999999833010456	0.35333368400170256	0.31845525167535427
REACTOME_PATHWAY	R-MMU-9006936~Signaling by TGFB family members	3	6.382978723404255	0.074306225390916	GREM2, TIMP1, FBN1	35	123	9277	6.464808362369338	0.9999999833879362	0.35333368400170256	0.31845525167535427
REACTOME_PATHWAY	R-MMU-392170~ADP signalling through P2Y purinoceptor 12	2	4.25531914893617	0.07768583017184705	GNGT2, GNG11	35	22	9277	24.096103896103894	0.9999999928894963	0.36201596860080726	0.32628048672175763
GOTERM_CC_DIRECT	GO:0030016~myofibril	2	4.25531914893617	0.08030567201598654	MYH11, MYL9	47	54	29722	23.42159180457053	0.9999777991790781	0.3671116435016527	0.3240907477788028
REACTOME_PATHWAY	R-MMU-5627123~RHO GTPases activate PAKs	2	4.25531914893617	0.0810741264198134	MYH11, MYL9	35	23	9277	23.048447204968944	0.9999999969725895	0.3632744510733947	0.3274147413107849
REACTOME_PATHWAY	R-MMU-400042~Adrenaline,noradrenaline inhibits insulin secretion	2	4.25531914893617	0.0810741264198134	GNGT2, GNG11	35	23	9277	23.048447204968944	0.9999999969725895	0.3632744510733947	0.3274147413107849
GOTERM_MF_DIRECT	GO:0046332~SMAD binding	2	4.25531914893617	0.08138174072253183	COL3A1, COL1A2	44	57	28924	23.065390749601278	0.9999808887356442	0.5787146006935596	0.5425449381502122
GOTERM_BP_DIRECT	GO:0031623~receptor internalization	2	4.25531914893617	0.08318230175034744	CAV1, ADM	47	56	29712	22.577507598784194	1.0	1.0	0.9875222816399287
GOTERM_CC_DIRECT	GO:0043025~neuronal cell body	4	8.51063829787234	0.08437953214468305	AKAP12, PTPRZ1, SERPINF1, NCAM1	47	668	29722	3.7867244234934385	0.999987422827345	0.37243379705239416	0.3287892114603167
REACTOME_PATHWAY	R-MMU-428930~Thromboxane signalling through TP receptor	2	4.25531914893617	0.08445033991921927	GNGT2, GNG11	35	24	9277	22.088095238095235	0.9999999987111508	0.36438757779959424	0.3284179885747416
REACTOME_PATHWAY	R-MMU-202040~G-protein activation	2	4.25531914893617	0.08445033991921927	GNGT2, GNG11	35	24	9277	22.088095238095235	0.9999999987111508	0.36438757779959424	0.3284179885747416
GOTERM_BP_DIRECT	GO:0016477~cell migration	3	6.382978723404255	0.08462237292548197	SH3KBP1, CD248, IGFBP6	47	313	29712	6.05913941948202	1.0	1.0	0.9875222816399287
REACTOME_PATHWAY	R-MMU-418592~ADP signalling through P2Y purinoceptor 1	2	4.25531914893617	0.08781451245013751	GNGT2, GNG11	35	25	9277	21.20457142857143	0.9999999994513533	0.36537109644432214	0.32930442168801566
REACTOME_PATHWAY	R-MMU-392451~G beta:gamma signalling through PI3Kgamma	2	4.25531914893617	0.08781451245013751	GNGT2, GNG11	35	25	9277	21.20457142857143	0.9999999994513533	0.36537109644432214	0.32930442168801566
GOTERM_BP_DIRECT	GO:0030514~negative regulation of BMP signaling pathway	2	4.25531914893617	0.09027122324048699	GREM2, CAV1	47	61	29712	20.72689222183467	1.0	1.0	0.9875222816399287
REACTOME_PATHWAY	R-MMU-1971475~A tetrasaccharide linker sequence is required for GAG synthesis	2	4.25531914893617	0.09116668566564533	VCAN, BGN	35	26	9277	20.389010989010988	0.9999999997664697	0.36816123724365857	0.33181914086338327
REACTOME_PATHWAY	R-MMU-418555~G alpha (s) signalling events	3	6.382978723404255	0.09164528652417252	GNGT2, ADM, GNG11	35	139	9277	5.720657759506681	0.9999999997933335	0.36816123724365857	0.33181914086338327
GOTERM_CC_DIRECT	GO:0030133~transport vesicle	2	4.25531914893617	0.09165311839877811	CRISPLD2, BGN	47	62	29722	20.399450926561425	0.999995468714926	0.3910533051681199	0.3452267459687309
GOTERM_BP_DIRECT	GO:0006469~negative regulation of protein kinase activity	2	4.25531914893617	0.09168255924097848	TRIB3, THY1	47	62	29712	20.392587508579275	1.0	1.0	0.9875222816399287
REACTOME_PATHWAY	R-MMU-9634597~GPER1 signaling	2	4.25531914893617	0.09450690106454322	GNGT2, GNG11	35	27	9277	19.633862433862433	0.9999999999006075	0.3698855141266195	0.333373210157039
GOTERM_BP_DIRECT	GO:0045597~positive regulation of cell differentiation	2	4.25531914893617	0.09870717283967474	ACTA2, PTN	47	67	29712	18.870752619879326	1.0	1.0	0.9875222816399287
